select t.INDEX_NAME || '|' ||
CCOT_CLO_FK_I|NORMAL|CMO_CLI_OPN_TIP|VISIBLE|NONUNIQUE|VALID
CCOT_PK|NORMAL|CMO_CLI_OPN_TIP|VISIBLE|UNIQUE|VALID
CCO_CLO_FK_I|NORMAL|CCO_CLI|VISIBLE|NONUNIQUE|VALID
CCO_ESB_FK_I|NORMAL|CCO_CLI|VISIBLE|NONUNIQUE|VALID
CCO_PK|NORMAL|CCO_CLI|VISIBLE|UNIQUE|VALID
CCPJ_EPJ_FK_I|NORMAL|CTT_EST_CLI_JRD|VISIBLE|NONUNIQUE|VALID
CCPJ_PCO_FK_I|NORMAL|CTT_EST_CLI_JRD|VISIBLE|NONUNIQUE|VALID
CCPJ_PK|NORMAL|CTT_EST_CLI_JRD|VISIBLE|UNIQUE|VALID
CCP_CCV_FK_I|NORMAL|CAC_CMO_CAR_PRD|VISIBLE|NONUNIQUE|VALID
CCP_PK|NORMAL|CAC_CMO_CAR_PRD|VISIBLE|UNIQUE|VALID
CCR_CJU_FK_I|NORMAL|CTO_CRD|VISIBLE|NONUNIQUE|VALID
CCR_PK|NORMAL|CTO_CRD|VISIBLE|UNIQUE|VALID
CCS_CTC_FK_I|NORMAL|CMS_CTC_CSD|VISIBLE|NONUNIQUE|VALID
CCS_ETN_FK_I|NORMAL|CMS_CTC_CSD|VISIBLE|NONUNIQUE|VALID
CCS_PK|NORMAL|CMS_CTC_CSD|VISIBLE|UNIQUE|VALID
CCS_PRD_FK_I|NORMAL|CMS_CTC_CSD|VISIBLE|NONUNIQUE|VALID
CCS_RMO_FK_I|NORMAL|CMS_CTC_CSD|VISIBLE|NONUNIQUE|VALID
CCT_PK|NORMAL|CTA_CTB|VISIBLE|UNIQUE|VALID
CCT_RMO_FK_I|NORMAL|CTA_CTB|VISIBLE|NONUNIQUE|VALID
CCT_RMO_SUN_FK_I|NORMAL|CTA_CTB_SUN|VISIBLE|NONUNIQUE|VALID
CCT_SUN_PK|NORMAL|CTA_CTB_SUN|VISIBLE|UNIQUE|VALID
CCU_PK|NORMAL|CNO_CST|VISIBLE|UNIQUE|VALID
CCU_SUN_PK|NORMAL|CNO_CST_SUN|VISIBLE|UNIQUE|VALID
CCV_CIN_FK_I|NORMAL|CMO_CAR_VRS_PRD|VISIBLE|NONUNIQUE|VALID
CCV_PK|NORMAL|CMO_CAR_VRS_PRD|VISIBLE|UNIQUE|VALID
CCV_VPR_FK_I|NORMAL|CMO_CAR_VRS_PRD|VISIBLE|NONUNIQUE|VALID
CCX_PK|NORMAL|CTL_CDS_EXL|VISIBLE|UNIQUE|VALID
CDC_PK|NORMAL|CMO_DCM_CLI|VISIBLE|UNIQUE|VALID
CDC_UK|NORMAL|CMO_DCM_CLI|VISIBLE|UNIQUE|VALID
CDDU_1|NORMAL|CDDU_MODTABS|VISIBLE|NONUNIQUE|VALID
CDDU_2|NORMAL|CDDU_MODCOLS|VISIBLE|NONUNIQUE|VALID
CDDU_3|NORMAL|CDDU_ERRORS|VISIBLE|NONUNIQUE|VALID
CDE_PK|NORMAL|CMO_DCM_EVT_SNS|VISIBLE|UNIQUE|VALID
CDE_TDO_FK_I|NORMAL|CMO_DCM_EVT_SNS|VISIBLE|NONUNIQUE|VALID
CDN_NOM_UK|NORMAL|CSU_ETC_DNC|VISIBLE|UNIQUE|VALID
CDN_PK|NORMAL|CSU_ETC_DNC|VISIBLE|UNIQUE|VALID
CDP_GRP_FK_I|NORMAL|CMO_DCM_PAT|VISIBLE|NONUNIQUE|VALID
CDP_PK|NORMAL|CMO_DCM_PAT|VISIBLE|UNIQUE|VALID
