select t.TABLE_NAME || '|' ||
       s.COLUMN_NAME || '|' ||
       s.DATA_TYPE || '|' ||
	   s.DATA_LENGTH || '|' ||
	   s.DATA_PRECISION || '|' ||
	   t.NUM_ROWS
from DBA_TABLES t,DBA_TAB_COLUMNS s
where t.table_name = s.table_name
and   t.OWNER  = '&schema';
&schema: ARISADM
COP_CONFIGSETORIGINS|MSN|NUMBER|22|19|0
COP_CONFIGSETORIGINS|CLANID|NUMBER|22|10|0
COP_CONFIGSETORIGINS|SVALUE|BLOB|4000||0
COP_CONFIGSETS|ROWKEY|VARCHAR2|255||0
COP_CONFIGSETS|VERSION|NUMBER|22|10|0
COP_CONFIGSETS|MSN|NUMBER|22|19|0
COP_CONFIGSETS|CLANID|NUMBER|22|10|0
COP_CONFIGSETS|SVALUE|BLOB|4000||0
COP_CSSPROPS|ROWKEY|VARCHAR2|255||0
COP_CSSPROPS|VERSION|NUMBER|22|10|0
COP_CSSPROPS|MSN|NUMBER|22|19|0
COP_CSSPROPS|CLANID|NUMBER|22|10|0
COP_CSSPROPS|SVALUE|BLOB|4000||0
COP_DELTACFGSETORIGINS|ROWKEY|VARCHAR2|255||0
COP_DELTACFGSETORIGINS|VERSION|NUMBER|22|10|0
COP_DELTACFGSETORIGINS|MSN|NUMBER|22|19|0
COP_DELTACFGSETORIGINS|CLANID|NUMBER|22|10|0
COP_DELTACFGSETORIGINS|SVALUE|BLOB|4000||0
COP_DELTACONFIGSETS|ROWKEY|VARCHAR2|255||0
COP_DELTACONFIGSETS|VERSION|NUMBER|22|10|0
COP_DELTACONFIGSETS|MSN|NUMBER|22|19|0
COP_DELTACONFIGSETS|CLANID|NUMBER|22|10|0
COP_DELTACONFIGSETS|SVALUE|BLOB|4000||0
COP_FILEBUNDLESTAGING|ROWKEY|VARCHAR2|255||0
COP_FILEBUNDLESTAGING|VERSION|NUMBER|22|10|0
COP_FILEBUNDLESTAGING|MSN|NUMBER|22|19|0
COP_FILEBUNDLESTAGING|CLANID|NUMBER|22|10|0
COP_FILEBUNDLESTAGING|SVALUE|BLOB|4000||0
COP_MODSETREL|ROWKEY|VARCHAR2|255||1
COP_MODSETREL|VERSION|NUMBER|22|10|1
COP_MODSETREL|MSN|NUMBER|22|19|1
COP_MODSETREL|CLANID|NUMBER|22|10|1
COP_MODSETREL|SVALUE|BLOB|4000||1
COP_MODSETS|ROWKEY|VARCHAR2|255||0
COP_MODSETS|VERSION|NUMBER|22|10|0
COP_MODSETS|MSN|NUMBER|22|19|0
COP_MODSETS|CLANID|NUMBER|22|10|0
COP_MODSETS|SVALUE|BLOB|4000||0
COP_PROPERTIES|NAME|VARCHAR2|255||2
COP_PROPERTIES|VAL|VARCHAR2|255||2
ECP_MENTIONEDACTIVITY|ACTIVITYID|NUMBER|22|24|0
ECP_MENTIONEDACTIVITY|MENTIONTYPE|VARCHAR2|255||0
ECP_MENTIONEDACTIVITY|UNIQUEKEY|VARCHAR2|255||0
